[ucrtbase.dll] 0x15e30 , 0x15e44 [ucrtbase.dll]
[ucrtbase.dll] 0x15e44 , 0x15e50 [ucrtbase.dll]
[ucrtbase.dll] 0x21d70 , 0x21d89 [ucrtbase.dll]
[ucrtbase.dll] 0x21d89 , 0x21d95 [ucrtbase.dll]
[ucrtbase.dll] 0x21d95 , 0x21d9a [ucrtbase.dll]
[ucrtbase.dll] 0x3964 , 0x397e [ucrtbase.dll]
[KERNELBASE.dll] 0x2cf50 , 0x2cf5d [KERNELBASE.dll]
[ucrtbase.dll] 0x397e , 0x39af [ucrtbase.dll]
[ucrtbase.dll] 0x39af , 0x39b8 [ucrtbase.dll]
[ucrtbase.dll] 0x39b8 , 0x39c3 [ucrtbase.dll]
[KERNELBASE.dll] 0x50dc0 , 0x50ddb [KERNELBASE.dll]
[ntdll.dll] 0x525a0 , 0x525c0 [ntdll.dll]
[ntdll.dll] 0x525c0 , 0x525c5 [ntdll.dll]
[ntdll.dll] 0x525c5 , 0x525da [ntdll.dll]
[ntdll.dll] 0x525da , 0x525f5 [ntdll.dll]
[ntdll.dll] 0x525f5 , 0x525fe [ntdll.dll]
[KERNELBASE.dll] 0x50ddb , 0x50de4 [KERNELBASE.dll]
[KERNELBASE.dll] 0x50de4 , 0x50df6 [KERNELBASE.dll]
[ucrtbase.dll] 0x39c3 , 0x39ce [ucrtbase.dll]
[ntdll.dll] 0x507c0 , 0x507ee [ntdll.dll]
[ntdll.dll] 0x507ee , 0x507f3 [ntdll.dll]
[ntdll.dll] 0x507f3 , 0x50800 [ntdll.dll]
[ntdll.dll] 0x8c390 , 0x8c399 [ntdll.dll]
[ntdll.dll] 0x8c399 , 0x8c3a4 [ntdll.dll]
[ntdll.dll] 0x8c3a4 , 0x8c3a5 [ntdll.dll]
[ntdll.dll] 0x50800 , 0x50805 [ntdll.dll]
[ucrtbase.dll] 0x39ce , 0x39e6 [ucrtbase.dll]
[ucrtbase.dll] 0x21d9a , 0x21dac [ucrtbase.dll]
[ucrtbase.dll] 0x15e50 , 0x15e57 [ucrtbase.dll]
[ucrtbase.dll] 0x15e57 , 0x15e64 [ucrtbase.dll]
[notepad.exe] 0x23cec , 0x23cf1 [notepad.exe]
[notepad.exe] 0x24630 , 0x24633 [notepad.exe]
[notepad.exe] 0x23cf1 , 0x23cf8 [notepad.exe]
[notepad.exe] 0x24df8 , 0x24dfe [notepad.exe]
[ucrtbase.dll] 0x23720 , 0x2372c [ucrtbase.dll]
[ucrtbase.dll] 0x1e84 , 0x1e92 [ucrtbase.dll]
[ucrtbase.dll] 0x1e92 , 0x1e9c [ucrtbase.dll]
[ucrtbase.dll] 0x231e0 , 0x231e8 [ucrtbase.dll]
[ucrtbase.dll] 0x1e9c , 0x1ea4 [ucrtbase.dll]
[ucrtbase.dll] 0x1ea4 , 0x1ead [ucrtbase.dll]
[notepad.exe] 0x23cf8 , 0x23d04 [notepad.exe]
[notepad.exe] 0x24314 , 0x24329 [notepad.exe]
[notepad.exe] 0x24329 , 0x24332 [notepad.exe]
[notepad.exe] 0x24332 , 0x24337 [notepad.exe]
[notepad.exe] 0x24337 , 0x2433b [notepad.exe]
[notepad.exe] 0x2433b , 0x2433f [notepad.exe]
[notepad.exe] 0x24363 , 0x243b9 [notepad.exe]
[notepad.exe] 0x23d04 , 0x23d08 [notepad.exe]
[notepad.exe] 0x23d08 , 0x23d0d [notepad.exe]
[notepad.exe] 0x24920 , 0x2493a [notepad.exe]
